"---------------------> nnschellforall SCHEDULLER, CACHE WITH 0.75% AND CHUNK OF (1000) -----------------"
"{'t1': 250, 't2': 332, 'similar?': 0.8, 'premature_discard': 9274, 'discarded': 11096, 'used': 0, 'hits_t1': 2590, 'rules_t1': 8488, 'hits_t2': 0, 'rules_t2': 11446}"
"{'t1': 332, 't2': 528, 'similar?': 0.63, 'premature_discard': 7313, 'discarded': 11436, 'used': 0, 'hits_t1': 0, 'rules_t1': 11446, 'hits_t2': 0, 'rules_t2': 11436}"
"{'t1': 528, 't2': 683, 'similar?': 0.7, 'premature_discard': 7728, 'discarded': 11229, 'used': 0, 'hits_t1': 0, 'rules_t1': 11436, 'hits_t2': 0, 'rules_t2': 11229}"
"{'t1': 683, 't2': 14, 'similar?': 0.36, 'premature_discard': 2422, 'discarded': 9291, 'used': 1035, 'hits_t1': 0, 'rules_t1': 11229, 'hits_t2': 1035, 'rules_t2': 9291}"
"{'t1': 14, 't2': 272, 'similar?': 0.52, 'premature_discard': 0, 'discarded': 5018, 'used': 5488, 'hits_t1': 1035, 'rules_t1': 9291, 'hits_t2': 5488, 'rules_t2': 5018}"
"{'t1': 272, 't2': 489, 'similar?': 0.57, 'premature_discard': 242, 'discarded': 4498, 'used': 6017, 'hits_t1': 5488, 'rules_t1': 5018, 'hits_t2': 6017, 'rules_t2': 4498}"
"{'t1': 489, 't2': 756, 'similar?': 0.68, 'premature_discard': 0, 'discarded': 3337, 'used': 7175, 'hits_t1': 6017, 'rules_t1': 4498, 'hits_t2': 7175, 'rules_t2': 3337}"
"{'t1': 756, 't2': 19, 'similar?': 0.21, 'premature_discard': 45, 'discarded': 7872, 'used': 2047, 'hits_t1': 7175, 'rules_t1': 3337, 'hits_t2': 2047, 'rules_t2': 7872}"
"{'t1': 19, 't2': 39, 'similar?': 0.93, 'premature_discard': 0, 'discarded': 742, 'used': 9177, 'hits_t1': 2047, 'rules_t1': 7872, 'hits_t2': 9177, 'rules_t2': 742}"
"{'t1': 39, 't2': 43, 'similar?': 0.79, 'premature_discard': 0, 'discarded': 1523, 'used': 9177, 'hits_t1': 9177, 'rules_t1': 742, 'hits_t2': 9177, 'rules_t2': 1523}"
"{'t1': 43, 't2': 63, 'similar?': 0.73, 'premature_discard': 136, 'discarded': 2894, 'used': 7806, 'hits_t1': 9177, 'rules_t1': 1523, 'hits_t2': 7806, 'rules_t2': 2894}"
"{'t1': 63, 't2': 64, 'similar?': 0.57, 'premature_discard': 78, 'discarded': 4595, 'used': 6017, 'hits_t1': 7806, 'rules_t1': 2894, 'hits_t2': 6017, 'rules_t2': 4595}"
"{'t1': 64, 't2': 67, 'similar?': 0.7, 'premature_discard': 150, 'discarded': 3094, 'used': 7175, 'hits_t1': 6017, 'rules_t1': 4595, 'hits_t2': 7175, 'rules_t2': 3094}"
"{'t1': 67, 't2': 80, 'similar?': 0.93, 'premature_discard': 0, 'discarded': 742, 'used': 9177, 'hits_t1': 7175, 'rules_t1': 3094, 'hits_t2': 9177, 'rules_t2': 742}"
"{'t1': 80, 't2': 81, 'similar?': 0.81, 'premature_discard': 611, 'discarded': 1961, 'used': 8473, 'hits_t1': 9177, 'rules_t1': 742, 'hits_t2': 8473, 'rules_t2': 1961}"
"{'t1': 81, 't2': 100, 'similar?': 0.79, 'premature_discard': 0, 'discarded': 2227, 'used': 8473, 'hits_t1': 8473, 'rules_t1': 1961, 'hits_t2': 8473, 'rules_t2': 2227}"
"{'t1': 100, 't2': 106, 'similar?': 0.85, 'premature_discard': 0, 'discarded': 1446, 'used': 8473, 'hits_t1': 8473, 'rules_t1': 2227, 'hits_t2': 8473, 'rules_t2': 1446}"
"{'t1': 106, 't2': 119, 'similar?': 0.85, 'premature_discard': 0, 'discarded': 1446, 'used': 8473, 'hits_t1': 8473, 'rules_t1': 1446, 'hits_t2': 8473, 'rules_t2': 1446}"
"{'t1': 119, 't2': 146, 'similar?': 0.79, 'premature_discard': 666, 'discarded': 2188, 'used': 8473, 'hits_t1': 8473, 'rules_t1': 1446, 'hits_t2': 8473, 'rules_t2': 2188}"
"{'t1': 146, 't2': 148, 'similar?': 0.86, 'premature_discard': 192, 'discarded': 1523, 'used': 9177, 'hits_t1': 8473, 'rules_t1': 2188, 'hits_t2': 9177, 'rules_t2': 1523}"
"{'t1': 148, 't2': 151, 'similar?': 0.73, 'premature_discard': 0, 'discarded': 2894, 'used': 7806, 'hits_t1': 9177, 'rules_t1': 1523, 'hits_t2': 7806, 'rules_t2': 2894}"
"{'t1': 151, 't2': 170, 'similar?': 0.79, 'premature_discard': 0, 'discarded': 2113, 'used': 7806, 'hits_t1': 7806, 'rules_t1': 2894, 'hits_t2': 7806, 'rules_t2': 2113}"
"{'t1': 170, 't2': 225, 'similar?': 0.62, 'premature_discard': 451, 'discarded': 4044, 'used': 6579, 'hits_t1': 7806, 'rules_t1': 2113, 'hits_t2': 6579, 'rules_t2': 4044}"
"{'t1': 225, 't2': 241, 'similar?': 0.85, 'premature_discard': 230, 'discarded': 1446, 'used': 8473, 'hits_t1': 6579, 'rules_t1': 4044, 'hits_t2': 8473, 'rules_t2': 1446}"
