"---------------------> roundrobin SCHEDULLER, CACHE WITH 10% AND CHUNK OF (40) -----------------"
"{'t1': 19, 't2': 24, 'similar?': 1.0, 'premature_discard': 0, 'discarded': 0, 'used': 7175, 'hits_t1': 1724, 'rules_t1': 5451, 'hits_t2': 7175, 'rules_t2': 0}"
"{'t1': 24, 't2': 27, 'similar?': 0.15, 'premature_discard': 0, 'discarded': 688, 'used': 5891, 'hits_t1': 7175, 'rules_t1': 0, 'hits_t2': 5891, 'rules_t2': 688}"
"{'t1': 27, 't2': 28, 'similar?': 0.56, 'premature_discard': 0, 'discarded': 0, 'used': 6579, 'hits_t1': 5891, 'rules_t1': 688, 'hits_t2': 6579, 'rules_t2': 0}"
"{'t1': 28, 't2': 0, 'similar?': 0.22, 'premature_discard': 0, 'discarded': 3140, 'used': 1385, 'hits_t1': 6579, 'rules_t1': 0, 'hits_t2': 1385, 'rules_t2': 3140}"
"{'t1': 0, 't2': 2, 'similar?': 0.23, 'premature_discard': 0, 'discarded': 3527, 'used': 1464, 'hits_t1': 1385, 'rules_t1': 3140, 'hits_t2': 1464, 'rules_t2': 3527}"
"{'t1': 2, 't2': 4, 'similar?': 0.25, 'premature_discard': 0, 'discarded': 2387, 'used': 3101, 'hits_t1': 1464, 'rules_t1': 3527, 'hits_t2': 3101, 'rules_t2': 2387}"
"{'t1': 4, 't2': 10, 'similar?': 0.27, 'premature_discard': 0, 'discarded': 0, 'used': 4991, 'hits_t1': 3101, 'rules_t1': 2387, 'hits_t2': 4991, 'rules_t2': 0}"
"{'t1': 10, 't2': 11, 'similar?': 0.03, 'premature_discard': 0, 'discarded': 3416, 'used': 3163, 'hits_t1': 4991, 'rules_t1': 0, 'hits_t2': 3163, 'rules_t2': 3416}"
"{'t1': 11, 't2': 12, 'similar?': 0.31, 'premature_discard': 0, 'discarded': 2146, 'used': 2845, 'hits_t1': 3163, 'rules_t1': 3416, 'hits_t2': 2845, 'rules_t2': 2146}"
#
