"---------------------> roundrobin SCHEDULLER, CACHE WITH 100% AND CHUNK OF (1000) -----------------"
"{'t1': 30, 't2': 31, 'similar?': 0.13, 'premature_discard': 0, 'discarded': 0, 'used': 3818, 'hits_t1': 8270, 'rules_t1': 2381, 'hits_t2': 3818, 'rules_t2': 5029}"
"{'t1': 31, 't2': 32, 'similar?': 0.15, 'premature_discard': 0, 'discarded': 0, 'used': 5456, 'hits_t1': 3818, 'rules_t1': 5029, 'hits_t2': 5456, 'rules_t2': 4768}"
"{'t1': 32, 't2': 33, 'similar?': 0.12, 'premature_discard': 0, 'discarded': 0, 'used': 7926, 'hits_t1': 5456, 'rules_t1': 4768, 'hits_t2': 7926, 'rules_t2': 3317}"
"{'t1': 33, 't2': 34, 'similar?': 0.13, 'premature_discard': 0, 'discarded': 0, 'used': 6822, 'hits_t1': 7926, 'rules_t1': 3317, 'hits_t2': 6822, 'rules_t2': 3601}"
"{'t1': 34, 't2': 35, 'similar?': 0.09, 'premature_discard': 0, 'discarded': 0, 'used': 7689, 'hits_t1': 6822, 'rules_t1': 3601, 'hits_t2': 7689, 'rules_t2': 3778}"
"{'t1': 35, 't2': 36, 'similar?': 0.44, 'premature_discard': 0, 'discarded': 0, 'used': 8687, 'hits_t1': 7689, 'rules_t1': 3778, 'hits_t2': 8687, 'rules_t2': 2700}"
"{'t1': 36, 't2': 37, 'similar?': 0.18, 'premature_discard': 0, 'discarded': 0, 'used': 7107, 'hits_t1': 8687, 'rules_t1': 2700, 'hits_t2': 7107, 'rules_t2': 2694}"
"{'t1': 37, 't2': 38, 'similar?': 0.03, 'premature_discard': 0, 'discarded': 0, 'used': 7060, 'hits_t1': 7107, 'rules_t1': 2694, 'hits_t2': 7060, 'rules_t2': 2857}"
"{'t1': 38, 't2': 39, 'similar?': 0.33, 'premature_discard': 0, 'discarded': 0, 'used': 9177, 'hits_t1': 7060, 'rules_t1': 2857, 'hits_t2': 9177, 'rules_t2': 742}"
"{'t1': 39, 't2': 40, 'similar?': 0.04, 'premature_discard': 0, 'discarded': 0, 'used': 2994, 'hits_t1': 9177, 'rules_t1': 742, 'hits_t2': 2994, 'rules_t2': 7569}"
"{'t1': 40, 't2': 41, 'similar?': 0.12, 'premature_discard': 0, 'discarded': 0, 'used': 5989, 'hits_t1': 2994, 'rules_t1': 7569, 'hits_t2': 5989, 'rules_t2': 3918}"
"{'t1': 41, 't2': 42, 'similar?': 0.17, 'premature_discard': 0, 'discarded': 0, 'used': 6922, 'hits_t1': 5989, 'rules_t1': 3918, 'hits_t2': 6922, 'rules_t2': 3720}"
"{'t1': 42, 't2': 43, 'similar?': 0.22, 'premature_discard': 0, 'discarded': 0, 'used': 9869, 'hits_t1': 6922, 'rules_t1': 3720, 'hits_t2': 9869, 'rules_t2': 831}"
"{'t1': 43, 't2': 44, 'similar?': 0.11, 'premature_discard': 0, 'discarded': 0, 'used': 5121, 'hits_t1': 9869, 'rules_t1': 831, 'hits_t2': 5121, 'rules_t2': 5868}"
"{'t1': 44, 't2': 45, 'similar?': 0.12, 'premature_discard': 0, 'discarded': 0, 'used': 7924, 'hits_t1': 5121, 'rules_t1': 5868, 'hits_t2': 7924, 'rules_t2': 3144}"
