"---------------------> nnschellbysignature SCHEDULLER, CACHE WITH 0.75% AND CHUNK OF (64) -----------------"
"{'t1': 62, 't2': 4, 'similar?': 0.17, 'premature_discard': 1058, 'discarded': 9853, 'used': 615, 'hits_t1': 0, 'rules_t1': 11279, 'hits_t2': 615, 'rules_t2': 9853}"
"{'t1': 4, 't2': 47, 'similar?': 0.53, 'premature_discard': 0, 'discarded': 4954, 'used': 5488, 'hits_t1': 615, 'rules_t1': 9853, 'hits_t2': 5488, 'rules_t2': 4954}"
"{'t1': 47, 't2': 14, 'similar?': 0.29, 'premature_discard': 0, 'discarded': 7375, 'used': 2951, 'hits_t1': 5488, 'rules_t1': 4954, 'hits_t2': 2951, 'rules_t2': 7375}"
"{'t1': 14, 't2': 6, 'similar?': 0.48, 'premature_discard': 0, 'discarded': 5349, 'used': 4991, 'hits_t1': 2951, 'rules_t1': 7375, 'hits_t2': 4991, 'rules_t2': 5349}"
"{'t1': 6, 't2': 50, 'similar?': 0.62, 'premature_discard': 408, 'discarded': 3981, 'used': 6579, 'hits_t1': 4991, 'rules_t1': 5349, 'hits_t2': 6579, 'rules_t2': 3981}"
"{'t1': 50, 't2': 7, 'similar?': 0.34, 'premature_discard': 55, 'discarded': 6401, 'used': 3303, 'hits_t1': 6579, 'rules_t1': 3981, 'hits_t2': 3303, 'rules_t2': 6401}"
"{'t1': 7, 't2': 24, 'similar?': 0.27, 'premature_discard': 290, 'discarded': 7176, 'used': 2625, 'hits_t1': 3303, 'rules_t1': 6401, 'hits_t2': 2625, 'rules_t2': 7176}"
"{'t1': 24, 't2': 26, 'similar?': 0.48, 'premature_discard': 199, 'discarded': 5362, 'used': 4991, 'hits_t1': 2625, 'rules_t1': 7176, 'hits_t2': 4991, 'rules_t2': 5362}"
"{'t1': 26, 't2': 54, 'similar?': 0.59, 'premature_discard': 40, 'discarded': 4254, 'used': 6017, 'hits_t1': 4991, 'rules_t1': 5362, 'hits_t2': 6017, 'rules_t2': 4254}"
"{'t1': 54, 't2': 28, 'similar?': 0.34, 'premature_discard': 0, 'discarded': 6462, 'used': 3303, 'hits_t1': 6017, 'rules_t1': 4254, 'hits_t2': 3303, 'rules_t2': 6462}"
"{'t1': 28, 't2': 56, 'similar?': 0.39, 'premature_discard': 171, 'discarded': 6380, 'used': 4089, 'hits_t1': 3303, 'rules_t1': 6462, 'hits_t2': 4089, 'rules_t2': 6380}"
"{'t1': 56, 't2': 13, 'similar?': 0.4, 'premature_discard': 0, 'discarded': 5493, 'used': 3682, 'hits_t1': 4089, 'rules_t1': 6380, 'hits_t2': 3682, 'rules_t2': 5493}"
"{'t1': 13, 't2': 5, 'similar?': 0.45, 'premature_discard': 267, 'discarded': 5088, 'used': 4089, 'hits_t1': 3682, 'rules_t1': 5493, 'hits_t2': 4089, 'rules_t2': 5088}"
"{'t1': 5, 't2': 16, 'similar?': 0.43, 'premature_discard': 300, 'discarded': 5927, 'used': 4525, 'hits_t1': 4089, 'rules_t1': 5088, 'hits_t2': 4525, 'rules_t2': 5927}"
"{'t1': 16, 't2': 37, 'similar?': 0.34, 'premature_discard': 120, 'discarded': 6498, 'used': 3303, 'hits_t1': 4525, 'rules_t1': 5927, 'hits_t2': 3303, 'rules_t2': 6498}"
"{'t1': 37, 't2': 34, 'similar?': 0.28, 'premature_discard': 284, 'discarded': 7472, 'used': 2951, 'hits_t1': 3303, 'rules_t1': 6498, 'hits_t2': 2951, 'rules_t2': 7472}"
"{'t1': 34, 't2': 18, 'similar?': 0.25, 'premature_discard': 66, 'discarded': 7724, 'used': 2625, 'hits_t1': 2951, 'rules_t1': 7472, 'hits_t2': 2625, 'rules_t2': 7724}"
"{'t1': 18, 't2': 23, 'similar?': 0.28, 'premature_discard': 206, 'discarded': 7543, 'used': 2951, 'hits_t1': 2625, 'rules_t1': 7724, 'hits_t2': 2951, 'rules_t2': 7543}"
"{'t1': 23, 't2': 30, 'similar?': 0.28, 'premature_discard': 73, 'discarded': 7700, 'used': 2951, 'hits_t1': 2951, 'rules_t1': 7543, 'hits_t2': 2951, 'rules_t2': 7700}"
"{'t1': 30, 't2': 41, 'similar?': 0.3, 'premature_discard': 78, 'discarded': 6956, 'used': 2951, 'hits_t1': 2951, 'rules_t1': 7700, 'hits_t2': 2951, 'rules_t2': 6956}"
"{'t1': 41, 't2': 32, 'similar?': 0.32, 'premature_discard': 0, 'discarded': 6921, 'used': 3303, 'hits_t1': 2951, 'rules_t1': 6956, 'hits_t2': 3303, 'rules_t2': 6921}"
"{'t1': 32, 't2': 59, 'similar?': 0.36, 'premature_discard': 136, 'discarded': 6532, 'used': 3682, 'hits_t1': 3303, 'rules_t1': 6921, 'hits_t2': 3682, 'rules_t2': 6532}"
"{'t1': 59, 't2': 31, 'similar?': 0.23, 'premature_discard': 0, 'discarded': 6800, 'used': 2047, 'hits_t1': 3682, 'rules_t1': 6532, 'hits_t2': 2047, 'rules_t2': 6800}"
"{'t1': 31, 't2': 46, 'similar?': 0.11, 'premature_discard': 256, 'discarded': 8190, 'used': 987, 'hits_t1': 2047, 'rules_t1': 6800, 'hits_t2': 987, 'rules_t2': 8190}"
"{'t1': 46, 't2': 49, 'similar?': 0.85, 'premature_discard': 0, 'discarded': 1371, 'used': 7806, 'hits_t1': 987, 'rules_t1': 8190, 'hits_t2': 7806, 'rules_t2': 1371}"
"{'t1': 49, 't2': 20, 'similar?': 0.55, 'premature_discard': 465, 'discarded': 4367, 'used': 5552, 'hits_t1': 7806, 'rules_t1': 1371, 'hits_t2': 5552, 'rules_t2': 4367}"
