"---------------------> roundrobin SCHEDULLER, CACHE WITH 0.75% AND CHUNK OF (1000) -----------------"
"{'t1': 30, 't2': 31, 'similar?': 0.13, 'premature_discard': 0, 'discarded': 7688, 'used': 1159, 'hits_t1': 987, 'rules_t1': 9664, 'hits_t2': 1159, 'rules_t2': 7688}"
"{'t1': 31, 't2': 32, 'similar?': 0.15, 'premature_discard': 817, 'discarded': 8663, 'used': 1561, 'hits_t1': 1159, 'rules_t1': 7688, 'hits_t2': 1561, 'rules_t2': 8663}"
"{'t1': 32, 't2': 33, 'similar?': 0.12, 'premature_discard': 810, 'discarded': 10228, 'used': 958, 'hits_t1': 1561, 'rules_t1': 8663, 'hits_t2': 958, 'rules_t2': 10285}"
"{'t1': 33, 't2': 34, 'similar?': 0.13, 'premature_discard': 514, 'discarded': 9644, 'used': 779, 'hits_t1': 958, 'rules_t1': 10285, 'hits_t2': 779, 'rules_t2': 9644}"
"{'t1': 34, 't2': 35, 'similar?': 0.09, 'premature_discard': 1197, 'discarded': 10903, 'used': 427, 'hits_t1': 779, 'rules_t1': 9644, 'hits_t2': 427, 'rules_t2': 11040}"
"{'t1': 35, 't2': 36, 'similar?': 0.44, 'premature_discard': 5149, 'discarded': 11387, 'used': 0, 'hits_t1': 427, 'rules_t1': 11040, 'hits_t2': 0, 'rules_t2': 11387}"
"{'t1': 36, 't2': 37, 'similar?': 0.18, 'premature_discard': 91, 'discarded': 8261, 'used': 1540, 'hits_t1': 0, 'rules_t1': 11387, 'hits_t2': 1540, 'rules_t2': 8261}"
"{'t1': 37, 't2': 38, 'similar?': 0.03, 'premature_discard': 31, 'discarded': 9619, 'used': 298, 'hits_t1': 1540, 'rules_t1': 8261, 'hits_t2': 298, 'rules_t2': 9619}"
"{'t1': 38, 't2': 39, 'similar?': 0.33, 'premature_discard': 31, 'discarded': 6616, 'used': 3303, 'hits_t1': 298, 'rules_t1': 9619, 'hits_t2': 3303, 'rules_t2': 6616}"
"{'t1': 39, 't2': 40, 'similar?': 0.04, 'premature_discard': 4, 'discarded': 10186, 'used': 377, 'hits_t1': 3303, 'rules_t1': 6616, 'hits_t2': 377, 'rules_t2': 10186}"
"{'t1': 40, 't2': 41, 'similar?': 0.12, 'premature_discard': 20, 'discarded': 8748, 'used': 1159, 'hits_t1': 377, 'rules_t1': 10186, 'hits_t2': 1159, 'rules_t2': 8748}"
"{'t1': 41, 't2': 42, 'similar?': 0.17, 'premature_discard': 0, 'discarded': 8849, 'used': 1793, 'hits_t1': 1159, 'rules_t1': 8748, 'hits_t2': 1793, 'rules_t2': 8849}"
"{'t1': 42, 't2': 43, 'similar?': 0.22, 'premature_discard': 0, 'discarded': 8376, 'used': 2324, 'hits_t1': 1793, 'rules_t1': 8849, 'hits_t2': 2324, 'rules_t2': 8376}"
"{'t1': 43, 't2': 44, 'similar?': 0.11, 'premature_discard': 1095, 'discarded': 10780, 'used': 190, 'hits_t1': 2324, 'rules_t1': 8376, 'hits_t2': 190, 'rules_t2': 10799}"
"{'t1': 44, 't2': 45, 'similar?': 0.12, 'premature_discard': 1526, 'discarded': 11068, 'used': 0, 'hits_t1': 190, 'rules_t1': 10799, 'hits_t2': 0, 'rules_t2': 11068}"
"{'t1': 45, 't2': 46, 'similar?': 0.09, 'premature_discard': 136, 'discarded': 8497, 'used': 680, 'hits_t1': 0, 'rules_t1': 11068, 'hits_t2': 680, 'rules_t2': 8497}"
"{'t1': 46, 't2': 47, 'similar?': 0.15, 'premature_discard': 429, 'discarded': 8881, 'used': 1561, 'hits_t1': 680, 'rules_t1': 8497, 'hits_t2': 1561, 'rules_t2': 8881}"
