"---------------------> nnschellbysignature SCHEDULLER, CACHE WITH 0.75% AND CHUNK OF (64) -----------------"
"{'t1': 93, 't2': 125, 'similar?': 0.18, 'premature_discard': 157, 'discarded': 8397, 'used': 1793, 'hits_t1': 3303, 'rules_t1': 6843, 'hits_t2': 1793, 'rules_t2': 8397}"
"{'t1': 125, 't2': 84, 'similar?': 0.05, 'premature_discard': 52, 'discarded': 9387, 'used': 469, 'hits_t1': 1793, 'rules_t1': 8397, 'hits_t2': 469, 'rules_t2': 9387}"
"{'t1': 84, 't2': 128, 'similar?': 0.1, 'premature_discard': 40, 'discarded': 9311, 'used': 987, 'hits_t1': 469, 'rules_t1': 9387, 'hits_t2': 987, 'rules_t2': 9311}"
"{'t1': 128, 't2': 154, 'similar?': 0.26, 'premature_discard': 28, 'discarded': 7324, 'used': 2625, 'hits_t1': 987, 'rules_t1': 9311, 'hits_t2': 2625, 'rules_t2': 7324}"
"{'t1': 154, 't2': 130, 'similar?': 0.29, 'premature_discard': 3252, 'discarded': 10802, 'used': 378, 'hits_t1': 2625, 'rules_t1': 7324, 'hits_t2': 378, 'rules_t2': 11004}"
"{'t1': 130, 't2': 136, 'similar?': 0.44, 'premature_discard': 5224, 'discarded': 11386, 'used': 0, 'hits_t1': 378, 'rules_t1': 11004, 'hits_t2': 0, 'rules_t2': 11404}"
"{'t1': 136, 't2': 137, 'similar?': 0.59, 'premature_discard': 6515, 'discarded': 11166, 'used': 0, 'hits_t1': 0, 'rules_t1': 11404, 'hits_t2': 0, 'rules_t2': 11166}"
"{'t1': 137, 't2': 146, 'similar?': 0.73, 'premature_discard': 2135, 'discarded': 5205, 'used': 5456, 'hits_t1': 0, 'rules_t1': 11166, 'hits_t2': 5456, 'rules_t2': 5205}"
"{'t1': 146, 't2': 148, 'similar?': 0.86, 'premature_discard': 0, 'discarded': 1523, 'used': 9177, 'hits_t1': 5456, 'rules_t1': 5205, 'hits_t2': 9177, 'rules_t2': 1523}"
"{'t1': 148, 't2': 151, 'similar?': 0.73, 'premature_discard': 0, 'discarded': 2894, 'used': 7806, 'hits_t1': 9177, 'rules_t1': 1523, 'hits_t2': 7806, 'rules_t2': 2894}"
"{'t1': 151, 't2': 170, 'similar?': 0.79, 'premature_discard': 0, 'discarded': 2113, 'used': 7806, 'hits_t1': 7806, 'rules_t1': 2894, 'hits_t2': 7806, 'rules_t2': 2113}"
"{'t1': 170, 't2': 176, 'similar?': 0.47, 'premature_discard': 385, 'discarded': 5709, 'used': 4991, 'hits_t1': 7806, 'rules_t1': 2113, 'hits_t2': 4991, 'rules_t2': 5709}"
"{'t1': 176, 't2': 189, 'similar?': 0.21, 'premature_discard': 1420, 'discarded': 9930, 'used': 1184, 'hits_t1': 4991, 'rules_t1': 5709, 'hits_t2': 1184, 'rules_t2': 10094}"
