64,0.75,0.43322645290581163,0.94,0.03,0.21264299873606518,3356.5450901803606,9177,0,2563.039418657881,3353.6272545090183,9177,0,2566.028424060195,3356.5450901803606,9177,0,2563.039418657881
64,1.0,0.43322645290581163,0.94,0.03,0.21264299873606518,4551.879759519038,9919,298,2235.1493387925,4548.751503006012,9919,0,2240.419261501597,4551.879759519038,9919,298,2235.1493387925
64,1.25,0.43322645290581163,0.94,0.03,0.21264299873606518,4949.599198396793,9919,298,2263.091059140857,4946.470941883767,9919,0,2268.844503137257,4949.599198396793,9919,298,2263.091059140857
64,1.5,0.43322645290581163,0.94,0.03,0.21264299873606518,5181.831663326653,9919,469,2181.832886636797,5177.789579158317,9919,0,2189.5470587444647,5181.831663326653,9919,469,2181.832886636797
128,0.75,0.4425250501002004,0.94,0.03,0.2129458352051289,3374.4168336673347,9625,0,2676.1565676444056,3374.4168336673347,9625,0,2676.1565676444056,3374.4168336673347,9625,0,2676.1565676444056
128,1.0,0.4425250501002004,0.94,0.03,0.2129458352051289,4689.440881763527,9919,298,2294.6601649388385,4682.821643286573,9919,0,2303.397310189817,4689.440881763527,9919,298,2294.6601649388385
128,1.25,0.4425250501002004,0.94,0.03,0.2129458352051289,5085.454909819639,9919,298,2325.8634519388866,5078.835671342686,9919,0,2335.6064128361745,5085.454909819639,9919,298,2325.8634519388866
128,1.5,0.4425250501002004,0.94,0.03,0.2129458352051289,5359.470941883767,9919,377,2249.0921153532154,5352.559118236473,9919,0,2260.224795515825,5359.470941883767,9919,377,2249.0921153532154
256,0.75,0.4467735470941884,0.93,0.02,0.20108276748743065,3172.138276553106,9625,0,2628.821381270909,3170.4208416833667,9625,0,2630.612655853531,3172.138276553106,9625,0,2628.821381270909
256,1.0,0.4467735470941884,0.93,0.02,0.20108276748743065,4782.881763527054,9919,231,2235.678269048005,4780.90380761523,9919,0,2239.469094767411,4782.881763527054,9919,231,2235.678269048005
256,1.25,0.4467735470941884,0.93,0.02,0.20108276748743065,5230.531062124249,9919,231,2254.3988655575413,5228.553106212425,9919,0,2258.5503337108034,5230.531062124249,9919,231,2254.3988655575413
256,1.5,0.4467735470941884,0.93,0.02,0.20108276748743065,5503.909819639279,10431,469,2168.0217809720702,5499.743486973948,10431,0,2176.580234534762,5503.909819639279,10431,469,2168.0217809720702
